type count length
العالمي 1 7
لحقوق 1 5
المستوى 1 7
المشترك 1 7
ينبغي 1 5
تستهدفه 1 7
كافة 1 4
والأمم 1 6
حتى 1 3
يسعى 1 4
وهيئة 1 5
واضعين 1 6
الدوام 1 6
نصب 1 3
أعينهم 1 6
توطيد 1 5
طريق 1 4
والتربية 1 8
واتخاذ 1 6
إجراءات 1 7
مطردة 1 5
قومية 1 5
وعالمية 1 7
بها 1 3
بصورة 1 5
عالمية 1 6
فعالة 1 5
ذاتها 1 5
وشعوب 1 5
البقاع 1 6
الخاضعة 1 7
لسلطانها 1 8
يولد 1 4
متساوين 1 7
الكرامة 1 7
والحقوق 1 7
وقد 1 3
وهبوا 1 5
وعليهم 1 6
يعامل 1 5
بعضهم 1 5
بروح 1 4
الإخاء 1 6
كالتمييز 1 8
العنصر 1 6
اللون 1 5
اللغة 1 5
رأي 1 3
الأصل 1 5
الثروة 1 6
الميلاد 1 7
وضع 1 3
الرجال 1 6
وفضلا 1 5
عما 1 3
تقدم 1 4
فلن 1 3
هناك 1 4
أساسه 1 5
الوضع 1 5
القانوني 1 8
لبلد 1 4
ينتمي 1 5
البلد 1 5
مستقلا 1 6
تحت 1 3
الوصاية 1 7
متمتع 1 5
بالحكم 1 6
الذاتي 1 6
سيادته 1 6
خاضعة 1 5
لأي 1 3
والحرية 1 7
وسلامة 1 6
شخصه 1 4
لايجوز 1 6
استرقاق 1 7
استعباد 1 7
ويحظر 1 5
الاسترقاق 1 9
وتجارة 1 6
الرقيق 1 6
أوضاعهما 1 8
لايعرض 1 6
للتعذيب 1 7
ولا 1 3
للعقوبات 1 8
المعاملات 1 9
القاسية 1 7
الوحشية 1 7
الحاطة 1 6
أينما 1 5
وجد 1 3
يعترف 1 5
بشخصيته 1 7
القانونية 1 9
سواسية 1 6
ولهم 1 4
متكافئة 1 7
لهم 1 3
جميعا 1 5
ضد 1 2
تميز 1 4
يخل 1 3
وضد 1 3
تحريض 1 5
كهذا 1 4
المحاكم 1 7
الوطنية 1 7
لإنصافه 1 7
اعتداء 1 6
يمنحها 1 6
القبض 1 5
حجزه 1 4
نفيه 1 4
الآخرين 1 7
تنظر 1 4
قضيته 1 5
محكمة 1 5
مستقلة 1 6
للفصل 1 5
والتزاماته 1 10
وأية 1 4
تهمة 1 4
جنائية 1 6
توجه 1 4
متهم 1 4
بجريمة 1 6
تثبت 1 4
إدانته 1 6
بمحاكمة 1 7
علنية 1 5
تؤمن 1 4
الضمانات 1 8
الضرورية 1 8
للدفاع 1 6
يدان 1 4
جراء 1 4
الامتناع 1 8
إذا 1 3
للقانون 1 7
الارتكاب 1 8
كذلك 1 4
توقع 1 4
عليه 1 4
عقوبة 1 5
أشد 1 3
توقيعها 1 7
ارتكاب 1 6
الجريمة 1 7
يعرض 1 4
لتدخل 1 5
تعسفي 1 5
حياته 1 5
الخاصة 1 6
أسرته 1 5
مسكنه 1 5
مراسلاته 1 8
لحملات 1 6
شرفه 1 4
وسمعته 1 6
ولكل 1 4
مثل 1 3
التدخل 1 6
الحملات 1 7
التنقل 1 6
واختيار 1 7
محل 1 3
إقامته 1 6
داخل 1 4
حدود 1 4
يغادر 1 5
بما 1 3
بلده 1 4
العودة 1 6
يحاول 1 5
الالتجاء 1 8
الاضطهاد 1 8
ينتفع 1 5
للمحاكمة 1 8
جرائم 1 5
سياسية 1 6
لأعمال 1 6
تناقض 1 5
بجنسية 1 6
حرمان 1 5
جنسيته 1 6
إنكار 1 5
حقه 1 3
تغييرها 1 7
للرجل 1 5
والمرأة 1 7
متى 1 3
بلغا 1 4
سن 1 2
التزوج 1 6
وتأسيس 1 6
أسرة 1 4
ولهما 1 5
وأثناء 1 6
قيامه 1 5
وعند 1 4
انحلاله 1 7
يبرم 1 4
عقد 1 3
برضى 1 4
الطرفين 1 7
الراغبين 1 8
رضى 1 3
إكراه 1 5
الوحدة 1 6
الطبيعية 1 8
للمجتمع 1 7
ولها 1 4
والدولة 1 7
التملك 1 6
بمفرده 1 6
بالاشتراك 1 9
غيره 1 4
تجريد 1 5
ملكه 1 4
التفكير 1 7
والضمير 1 7
والدين 1 6
تغيير 1 5
ديانته 1 6
عقيدته 1 6
وحرية 1 5
الإعراب 1 7
عنهما 1 5
بالتعليم 1 8
والممارسة 1 9
وإقامة 1 6
الشعائر 1 7
أكان 1 4
أم 1 2
الجماعة 1 7
والتعبير 1 8
اعتناق 1 6
الآراء 1 6
تدخل 1 4
واستقاء 1 7
الأنباء 1 7
والأفكار 1 8
وتلقيها 1 7
وإذاعتها 1 8
بأية 1 4
وسيلة 1 5
تقيد 1 4
بالحدود 1 7
الجغرافية 1 9
الجمعيات 1 8
السلمية 1 7
إرغام 1 5
الانضمام 1 8
جمعية 1 5
إدارة 1 5
الشؤون 1 6
لبلاده 1 6
إما 1 3
مباشرة 1 6
وإما 1 4
بواسطة 1 6
ممثلين 1 6
يختارون 1 7
نفس 1 3
لغيره 1 5
تقلد 1 4
الوظائف 1 7
البلاد 1 6
إن 1 2
إرادة 1 5
الشعب 1 5
مصدر 1 4
سلطة 1 4
الحكومة 1 7
ويعبر 1 5
الإرادة 1 7
بانتخابات 1 9
تجري 1 4
الاقتراع 1 8
السري 1 5
الجميع 1 6
حسب 1 3
إجراء 1 5
مماثل 1 5
يضمن 1 4
التصويت 1 7
بصفته 1 5
الضمانة 1 7
تحقق 1 4
بوساطة 1 6
المجهود 1 7
القومي 1 6
والتعاون 1 8
يتفق 1 4
ونظم 1 4
ومواردها 1 8
الاقتصادية 1 10
والاجتماعية 1 11
والتربوية 1 9
لاغنى 1 5
عنها 1 4
لكرامته 1 7
وللنمو 1 6
الحر 1 4
اختياره 1 7
بشروط 1 5
عادلة 1 5
مرضية 1 5
متساو 1 5
للعمل 1 5
يقوم 1 4
بعمل 1 4
عادل 1 4
مرض 1 3
يكفل 1 4
عيشة 1 4
لائقة 1 5
بكرامة 1 6
تضاف 1 4
اللزوم 1 6
للحماية 1 7
ينشئ 1 4
وينضم 1 5
نقابات 1 6
لمصلحته 1 7
الراحة 1 6
أوقات 1 5
الفراغ 1 6
ولاسيما 1 7
تحديد 1 5
معقول 1 5
لساعات 1 6
عطلات 1 5
بأجر 1 4
المعيشة 1 7
كاف 1 3
للمحافظة 1 8
الصحة 1 5
والرفاهية 1 9
ويتضمن 1 6
التغذية 1 7
والملبس 1 7
والمسكن 1 7
والعناية 1 8
الطبية 1 6
وكذلك 1 5
الخدمات 1 7
اللازمة 1 7
تأمين 1 5
معيشته 1 6
حالات 1 5
والمرض 1 6
والعجز 1 6
والترمل 1 7
والشيخوخة 1 9
وغير 1 4
فقدان 1 5
العيش 1 5
نتيجة 1 5
لظروف 1 5
خارجة 1 5
إرادته 1 6
للأمومة 1 7
والطفولة 1 8
مساعدة 1 6
ورعاية 1 6
خاصتين 1 6
وينعم 1 5
الأطفال 1 7
بنفس 1 4
أكانت 1 5
ولادتهم 1 7
ناتجة 1 5
رباط 1 4
شرعي 1 4
بطريقة 1 6
شرعية 1 5
التعلم 1 6
ويجب 1 4
مراحله 1 6
الأولى 1 6
والأساسية 1 9
الأقل 1 5
بالمجان 1 7
الأولي 1 6
وينبغي 1 6
يعمم 1 4
والمهني 1 7
ييسر 1 4
القبول 1 6
للتعليم 1 7
العالي 1 6
للجميع 1 6
الكفاءة 1 7
يجب 1 3
تهدف 1 4
التربية 1 7
شخصية 1 5
وتنمية 1 6
التفاهم 1 7
والتسامح 1 8
والصداقة 1 8
العنصرية 1 8
الدينية 1 7
زيادة 1 5
مجهود 1 5
لحفظ 1 4
السلام 1 6
للآباء 1 6
الأول 1 5
اختيار 1 6
نوع 1 3
تربية 1 5
أولادهم 1 7
يشترك 1 5
حياة 1 4
الثقافي 1 7
الاستمتاع 1 9
بالفنون 1 7
والمساهمة 1 9
التقدم 1 6
والاستفادة 1 10
نتائجه 1 6
المصالح 1 7
الأدبية 1 7
والمادية 1 8
المترتبة 1 8
إنتاجه 1 6
الأدبي 1 6
بنظام 1 5
اجتماعي 1 7
دولي 1 4
تتحقق 1 5
بمقتضاه 1 7
المنصوص 1 7
عليها 1 5
تاما 1 4
واجبات 1 6
نحو 1 3
يتاح 1 4
وحده 1 4
تنمو 1 4
يخضع 1 4
لتلك 1 4
يقررها 1 6
فقط 1 3
الغير 1 5
ولتحقيق 1 7
المقتضيات 1 9
العادلة 1 7
للنظام 1 6
والمصلحة 1 8
والأخلاق 1 8
مجتمع 1 5
ديمقراطي 1 8
يصح 1 3
بحال 1 4
الأحوال 1 7
تمارس 1 5
تتناقض 1 6
ليس 1 3
نص 1 2
تأويله 1 6
يخول 1 4
لدولة 1 5
جماعة 1 5
القيام 1 6
بنشاط 1 5
تأدية 1 5
يهدف 1 4
هدم 1 3
