type count length
όλους 2 5
επιστημονική 2 12
μπορούν 2 7
οικουμενικη 1 11
ΔΙΑΚΗΡΥΞΗ 1 9
ανθρωπινα 1 9
δικαιωματα 1 10
δεκεμβριου 1 10
προοιμιο 1 8
αξιοπρέπειας 1 12
σύμφυτη 1 7
οικογένειας 1 11
καθώς 1 5
ίσων 1 4
αναπαλλοτρίωτων 1 15
δικαιοσύνης 1 11
παραγνώριση 1 11
περιφρόνηση 1 11
οδήγησαν 1 8
βαρβαρότητας 1 12
εξεγείρουν 1 10
προοπτική 1 9
κόσμου 1 6
μιλούν 1 6
πιστεύουν 1 9
λυτρωμένοι 1 10
τρόμο 1 5
αθλιότητα 1 9
διακηρυχθεί 1 11
πιο 1 3
υψηλή 1 5
επιδίωξη 1 8
ανθρώπινα 1 9
αναγκάζεται 1 11
προσφεύγει 1 10
έσχατο 1 6
καταφύγιο 1 9
εξέγερση 1 8
τυραννίας 1 9
καταπίεσης 1 10
ενθαρρύνεται 1 12
φιλικών 1 7
σχέσεων 1 7
καταστατικό 1 11
χάρτη 1 5
πάλι 1 4
πίστη 1 5
αξία 1 4
ανδρών 1 6
γυναικών 1 8
πως 1 3
αποφασισμένοι 1 13
συντελέσουν 1 11
δημιουργήσουν 1 13
καλύτερες 1 9
ευρύτερης 1 9
κράτη 1 5
ανέλαβαν 1 8
εξασφαλίσουν 1 12
οργανισμό 1 9
αποτελεσματικό 1 14
σεβασμό 1 7
ταυτότητα 1 9
αντιλήψεων 1 10
αυτές 1 5
εξαιρετική 1 10
εκπληρωθεί 1 10
γενικη 1 6
συνελευση 1 9
διακηρύσσει 1 11
οικουμενική 1 11
κοινό 1 5
ιδανικό 1 7
οποίο 1 5
κατατείνουν 1 11
όλοι 1 4
έτσι 1 4
όργανο 1 6
διαρκώς 1 7
σκέψη 1 5
καταβάλλει 1 10
προσπάθεια 1 10
αναπτυχθεί 1 10
αυτών 1 5
προοδευτικά 1 11
εσωτερικά 1 9
παγκόσμια 1 9
αποτελεσματική 1 14
εφαρμογή 1 8
τόσο 1 4
λαούς 1 5
ίδιων 1 5
κρατών 1 6
μελών 1 5
όσο 1 3
πληθυσμούς 1 10
χωρών 1 5
βρίσκονται 1 10
δικαιοδοσία 1 11
γεννιούνται 1 11
προικισμένοι 1 12
λογική 1 6
οφείλουν 1 8
συμπεριφέρονται 1 15
μεταξύ 1 6
πνεύμα 1 6
αδελφοσύνης 1 11
δικαιούται 1 10
επικαλείται 1 11
φυλή 1 4
χρώμα 1 5
φύλο 1 4
γλώσσα 1 6
θρησκείες 1 9
πολιτικές 1 9
οποιεσδήποτε 1 12
καταγωγή 1 8
περιουσία 1 9
γέννηση 1 7
άλλη 1 4
κατάσταση 1 9
πολιτικού 1 9
νομικού 1 7
διεθνούς 1 8
καθεστώτος 1 10
προέρχεται 1 10
πρόκειται 1 9
εδαφική 1 7
περιοχή 1 7
ανεξάρτητη 1 10
κηδεμονία 1 9
υπεξουσία 1 9
οποιονδήποτε 1 12
άλλον 1 5
κυριαρχίας 1 10
προσωπική 1 9
ασφάλεια 1 8
ζει 1 3
δουλείας 1 8
ολικής 1 6
μερικής 1 7
δουλεία 1 7
δουλεμπόριο 1 11
μορφή 1 5
απαγορεύονται 1 13
υποβάλλεται 1 11
βασανιστήρια 1 12
μεταχείριση 1 11
σκληρή 1 6
απάνθρωπη 1 9
ταπεινωτική 1 11
νομικής 1 7
νόμου 1 5
παραβίαζε 1 9
πρόκληση 1 8
τέτοια 1 6
δυσμενή 1 7
ασκεί 1 5
αποτελεσματικά 1 14
ένδικα 1 6
αρμόδια 1 7
εθνικά 1 6
δικαστήρια 1 10
πράξεων 1 7
παραβιάζουν 1 11
αναγνωρίζουν 1 12
σύνταγμα 1 8
νόμος 1 5
συλλαμβάνεται 1 13
κρατείται 1 9
εξορίζεται 1 10
εκδικάζεται 1 11
υπόθεσή 1 7
δίκαια 1 6
δικαστήριο 1 10
ανεξάρτητο 1 10
αμερόληπτο 1 10
αποφασίσει 1 10
υποχρεώσεις 1 11
ποινικής 1 8
διαδικασίας 1 11
βάσιμο 1 6
κατηγορίας 1 10
στρέφεται 1 9
εναντίον 1 8
κατηγορούμενος 1 14
ποινικό 1 7
θεωρείται 1 9
αθώος 1 5
ωσότου 1 6
διαπιστωθεί 1 11
ενοχή 1 5
σύμφωνα 1 7
ποινική 1 7
δίκη 1 4
υπεράσπισή 1 10
εγγυήσεις 1 9
καταδικάζεται 1 13
παραλείψεις 1 11
τελέστηκαν 1 10
συνιστούσαν 1 11
αξιόποινο 1 9
διεθνές 1 7
δίκαιο 1 6
επίσης 1 6
επιβάλλεται 1 11
βαρύτερη 1 8
εκείνη 1 6
ίσχυε 1 5
τελέστηκε 1 9
αξιόποινη 1 9
πράξη 1 5
υποστεί 1 7
αυθαίρετες 1 10
ιδιωτική 1 8
αλληλογραφία 1 12
τιμής 1 5
υπόληψης 1 8
προστατεύουν 1 12
νόμοι 1 5
αυτού 1 5
κυκλοφορεί 1 10
εκλέγει 1 7
τόπο 1 4
διαμονής 1 8
εγκαταλείπει 1 12
δική 1 4
επιστρέφει 1 10
καταδιώκεται 1 12
ζητά 1 4
χώρες 1 5
επικαλεστεί 1 11
δίωξης 1 6
πραγματικό 1 10
κοινού 1 6
ποινικού 1 8
αντίθετες 1 9
οηε 1 3
ιθαγένειας 1 10
ιθαγένειά 1 9
αλλάξει 1 7
ιθαγένεια 1 9
στιγμή 1 6
φθάσουν 1 7
άνδρας 1 6
γυναίκα 1 7
κανένα 1 6
φυλής 1 5
εθνικότητας 1 11
παντρεύονται 1 12
ιδρύουν 1 7
δύο 1 3
ίσα 1 3
γάμο 1 4
διάρκεια 1 8
διάλυσή 1 7
γάμος 1 5
συναφθεί 1 8
συναίνεση 1 9
μελλονύμφων 1 11
φυσικό 1 6
βασικό 1 6
στοιχείο 1 8
ιδιοκτησίας 1 11
ιδιοκτησία 1 10
σκέψης 1 6
συνείδησης 1 10
περιλαμβάνεται 1 14
αλλαγή 1 6
πεποιθήσεων 1 11
εκδηλώνει 1 9
θρησκεία 1 8
μόνος 1 5
ιδιωτικά 1 8
λατρεία 1 7
τέλεση 1 6
θρησκευτικών 1 12
τελετών 1 7
γνώμης 1 6
σημαίνει 1 8
υφίσταται 1 9
δυσμενείς 1 9
συνέπειες 1 9
γνώμες 1 6
αναζητεί 1 8
παίρνει 1 7
διαδίδει 1 8
πληροφορίες 1 11
ιδέες 1 5
μέσο 1 4
συνέρχεται 1 10
συνεταιρίζεται 1 14
ειρηνικούς 1 10
υποχρεωθεί 1 10
ορισμένο 1 8
σωματείο 1 8
διακυβέρνηση 1 12
άμεσα 1 5
έμμεσα 1 6
αντιπροσώπους 1 13
εκλεγμένους 1 11
δεκτός 1 6
στις 1 4
δημόσιες 1 8
λαϊκή 1 5
κρατικής 1 8
εξουσίας 1 8
εκφράζεται 1 10
τίμιες 1 6
εκλογές 1 7
οποίες 1 6
διεξάγονται 1 11
περιοδικά 1 9
καθολική 1 8
μυστική 1 7
ψηφοφορία 1 9
αντίστοιχη 1 10
διαδικασία 1 10
εκλογής 1 7
μέλος 1 5
κοινωνικού 1 10
συνόλου 1 7
πρωτοβουλία 1 11
πάντα 1 5
οργάνωση 1 8
οικονομικές 1 11
δυνατότητες 1 11
χρέος 1 5
ικανοποίηση 1 11
οικονομικών 1 11
κοινωνικών 1 10
πολιτιστικών 1 12
απαραίτητα 1 10
εργάζεται 1 9
επιλέγει 1 8
επάγγελμά 1 9
ικανοποιητικές 1 14
δουλειάς 1 8
προστατεύεται 1 13
ανεργεία 1 8
Ολοι 1 4
ίσης 1 4
εργασία 1 7
Κάθε 1 4
εργαζόμενος 1 11
δίκαιης 1 7
ικανοποιητικής 1 14
αυτόν 1 5
οικογένειά 1 10
άξιες 1 5
αμοιβή 1 6
υπάρχει 1 7
συμπληρώνεται 1 13
άλλα 1 4
ιδρύει 1 6
προάσπιση 1 9
συμφερόντων 1 11
ανάπαυση 1 8
ελεύθερο 1 8
ιδιαίτερα 1 9
λογικό 1 6
χρόνου 1 6
περιοδικές 1 10
άδειες 1 6
πλήρεις 1 7
αποδοχές 1 8
βιοτικό 1 7
επίπεδο 1 7
ικανό 1 5
ίδιο 1 4
υγεία 1 5
ευημερία 1 8
τροφή 1 5
ρουχισμό 1 8
ιατρική 1 7
περίθαλψη 1 9
κοινωνικές 1 10
εχει 1 4
ασφάλιση 1 8
ανεργία 1 7
αρρώστια 1 8
αναπηρία 1 8
χηρεία 1 6
γεροντική 1 9
περιπτώσεις 1 11
στερείται 1 9
συντήρησής 1 10
περιστάσεων 1 11
ανεξαρτήτων 1 11
θέλησης 1 7
μητρότητα 1 9
παιδική 1 7
ειδικής 1 7
μέριμνας 1 8
περίθαλψης 1 10
Ολα 1 3
ανεξάρτητα 1 10
νόμιμα 1 6
εξώγαμα 1 7
απολαμβάνουν 1 12
ίδια 1 4
δωρεάν 1 6
τουλάχιστον 1 11
στοιχειώδη 1 10
βασική 1 6
βαθμίδα 1 7
στοιχειώδης 1 11
υποχρεωτική 1 11
τεχνική 1 7
επαγγελματική 1 13
πρόσβαση 1 8
ανώτατη 1 7
ανοικτή 1 7
ικανότητες 1 10
αποβλέπει 1 9
ενίσχυση 1 8
σεβασμού 1 8
ανθρωπίνων 1 10
προάγει 1 7
κατανόηση 1 9
ανεκτικότητα 1 12
φιλία 1 5
φυλές 1 5
ομάδες 1 6
ευνοεί 1 6
δραστηριοτήτων 1 14
διατήρηση 1 9
γονείς 1 6
προτεραιότητα 1 13
επιλέγουν 1 9
είδος 1 5
παιδείας 1 8
δοθεί 1 5
πνευματική 1 10
κοινότητας 1 10
χαίρεται 1 8
καλές 1 5
τέχνες 1 6
μετέχει 1 7
αγαθά 1 5
ηθικά 1 5
υλικά 1 5
συμφέροντά 1 10
απορρέουν 1 9
λογοτεχνική 1 11
καλλιτεχνική 1 12
παραγωγή 1 8
επικρατεί 1 9
διεθνής 1 7
τάξη 1 4
πραγματώνονται 1 14
όλη 1 3
έκταση 1 6
καθήκοντα 1 9
κοινότητα 1 9
οποίας 1 6
δυνατή 1 6
ολοκληρωμένη 1 12
απόλαυση 1 8
υπόκειται 1 9
περιορισμούς 1 12
ορίζονται 1 9
νόμους 1 6
αποκλειστικό 1 12
σκοπό 1 5
άλλων 1 5
ικανοποιούνται 1 14
απαιτήσεις 1 10
ηθικής 1 6
δημόσιας 1 8
τάξης 1 5
γενικού 1 7
καλού 1 5
δημοκρατική 1 11
αυτά 1 4
ασκούνται 1 9
αντίθετα 1 8
καμιά 1 5
διάταξη 1 7
παρούσας 1 8
διακήρυξης 1 10
ερμηνευθεί 1 10
παρέχει 1 7
ομάδα 1 5
επιδίδεται 1 10
εκτελεί 1 7
αποβλέπουν 1 10
άρνηση 1 6
εξαγγέλλονται 1 13
